还款月份,360,京东白条,借呗,分期乐,微信,抖音,极融,美团,金条,总还款金额
202508,1451.39,0.00,0.00,2825.78,3510.41,2126.69,602.67,0.00,934.58,11451.52
202509,2982.83,896.49,808.28,2815.79,0.00,1005.54,602.67,851.10,934.58,10897.28
202510,2538.59,896.49,169.29,2805.74,0.00,962.59,602.67,851.10,934.58,9761.05
202511,2517.35,896.49,169.29,2795.63,0.00,930.12,602.67,851.10,934.58,9697.23
202512,2079.91,896.49,169.29,2785.47,0.00,907.61,602.67,756.83,934.58,9132.85
202601,2056.13,863.79,169.28,2775.20,0.00,850.34,602.67,756.83,934.58,9008.82
202602,1581.83,852.97,0.00,1972.76,0.00,798.66,602.67,426.89,934.58,7170.36
202603,1551.42,582.57,0.00,1962.44,0.00,719.91,602.67,426.89,934.58,6780.48
202604,1539.50,554.28,0.00,1248.83,0.00,357.95,602.67,426.89,467.29,5197.41
202605,1516.46,554.28,0.00,937.02,0.00,292.86,0.00,426.83,0.00,3727.45
202606,1499.50,0.00,0.00,442.02,0.00,50.29,0.00,285.09,0.00,2276.90
202607,1074.68,0.00,0.00,0.00,0.00,0.00,0.00,285.57,0.00,1360.25
,22389.59,6993.85,1485.43,23366.68,3510.41,9002.56,5424.03,6345.12,7943.93,86461.60
